id	name	rarity	description	requirements	effects	end
4000	Magic Overflowing	-2	Magic is overflowing the boundaries of this realm. The air crystallizes into magic.	pop0ok 1|magic 4|land 1	4d6vis A	
4001	Arcane Surge	-2	A surge of absolute magic has overwhelmed the realm, leaving behind clusters of pure aether.	pop0ok 1|magic 5|land 1	5d6vis S	
4002	Mythical Beast Slain	-2	A mythical beast of pure mana has been slain. It leaves behind a wealth of magical gems!	magic 4|land 1	2d6vis All	
4003	Astral Behemoth	-2	An astral behemoth has been slain. Its crystalline heart shattered into a staggering amount of gems!	magic 5|land 1	3d6vis All	
4004	Potent Artifact	-1	A potent artifact humming with power was found by prospectors.	maxunrest 50|magic 4|luck 1	magicitem 3|1d6vis S	
4005	Legendary Discovery	-1	An artifact of legends has been unearthed from a reality rift.	maxunrest 50|magic 5|luck 1	magicitem 4|1d6vis S	
4006	Arcane Vault Found	-1	A magical anomaly unearthed a hidden vault containing artifacts of forgotten power.	magic 4|luck 2|land 1	magicitem 4	
4007	Reality Rift Artifacts	-1	Reality warped, leaving behind artifacts of immense, forgotten power.	magic 5|luck 2|land 1	magicitem 4|magicitem 3	
4008	Pantokrator Armory	-2	Fortune revealed the lost armory of a Pantokrator.	magic 4|luck 3|turn 15	magicitem 4|magicitem 3|2d6vis All	
4009	Lost Vault of Archmage	-2	Extreme fortune bestowed upon you the lost vault of an Archmage.	magic 5|luck 3|turn 15	gold 4000|magicitem 4|magicitem 4|3d6vis All	
4010	Anti-Magic Hysteria	1	The populace has formed a fanatical mob and burned the lab to purge magic.	unmagic 4|minpop 50|lab 1	lab 0|unrest 80|kill 5	
4011	Void Collapse	2	The absence of magic caused reality to collapse in the lab, destroying all magic items.	unmagic 5|pop0ok 1|lab 1	lab 0|gemloss All|magicitem -1|magicitem -1	
4012	Meteor Strike	2	A massive meteor struck, destroying the province's infrastructure.	unluck 5|pop0ok 1|land 1	kill 50|gold -5000|fort 0|temple 0|unrest 200	
4013	Rift in Fate	2	A total drain of mystical wards allowed a terror to feed on the province.	unluck 4|unmagic 4|land 1	unrest 150|com 308|kill 20	
4014	Absolute Desolation	2	An anti-magic singularity has left nothing but ruin and madness.	unluck 5|unmagic 5|land 1	kill 75|gold -10000|lab 0|temple 0|fort 0|unrest 300	
4020	Neglected Defenses	2	The militia is apathetic. Guards sleep and walls degrade. Bandits sacked the armory.	lazy 3|unluck 3|land 1	defence -15|unrest 20|gold -200	
