id	name	rarity	description	requirements	effects	end
5065	The Golden Statutes	-1	The law in this province has reached a state of crystalline clarity. Inspired by the perfect justice of the courts, a group of loyal knights has pledged their lives to the state, bringing a tithe of gems.	order 3|land 1	incscale2 Order|2d6vis S|nation -2|com 23|2d6units 22	
5066	The Gilded Incursion	1	The laws here are so rigid and unyielding that a local noble has declared your 'justice' a form of tyranny. He has raised a private army of 'liberators' to return the province to a more flexible rule.	order 3|land 1	incscale2 Order|unrest 60|com 23|addequip 1|10d6units 19	
5067	The Free Merchant’s Accord	-1	In this land of minimal oversight, trade is thriving with a wild, infectious energy. Independent traders have donated a cache of gems and their own hired guards to ensure their continued freedom.	chaos 3|land 1	incscale2 Turmoil|1d6vis Elemental|nation -2|2com 35|6d6units 40	
5068	The Anarch’s Mutiny	1	The total lack of order has finally emboldened the local gangs. A powerful warlord has united the rabble, claiming that your distant rule is no rule at all. They are currently seizing the armory.	chaos 3|land 1	incscale2 Turmoil|unrest 100|com 147|16d6units 139|6d6units 140	
5069	The Clockwork Breakthrough	-1	Provincial industry has hit a rhythm of divine efficiency. A reclusive master of gears has gifted the province a small squad of tireless mechanical servants and a supply of refined earth-essence.	prod 3|land 1	incscale2 Prod|2d6vis E|nation -2|2d6units 532|landprod 15	
5070	The Screaming Earth	1	The earth in this province has been scoured for resources with such intensity that the deep-spirits have awoken in pain. They are rising from the shafts to reclaim the stone from your miners.	prod 3|cave 1	incscale2 Prod|kill 20|com 2523|12d6units 2524|landprod -10	
5071	Meditative Tranquility	-1	The profound stillness of the province has allowed the populace to find a rare spiritual peace. A group of monks has emerged from their silence to offer their services, bringing gems.	sloth 3|land 1	incscale2 Sloth|2d6vis S|nation -2|com 2324|12d6units 2324	
5072	The Dream-Vortex	1	The collective apathy of the people has thinned the veil. In their deep, lethargic sleep, the inhabitants have accidentally opened a doorway for a horror that now stalks the physical streets.	sloth 3|land 1	incscale2 Sloth|kill 10|com 2212|unrest 40|incdom -2	
5073	Solar Attunement	-1	The heat in this region has become a source of vitality. Fire spirits have emerged from the shimmering dunes to dance in your honor, bringing fire rubies as a sign of their devotion.	heat 3|waste 1	incscale2 Heat|2d6vis F|nation -2|com 99|2d6units 527	
5074	The Molten Eruption	1	The ground has cracked under the relentless sun. Molten monsters have emerged from a sudden fissure, treating the province as a new extension of hell.	heat 3|land 1	incscale2 Heat|kill 15|com 526|10d6units 304|unrest 50	
5075	Rime-Blessed Scouts	-1	The beautiful, crisp cold of the highlands has attracted a group of mountain scouts who thrive in the frost. They have pledged their services, presenting a gift of frozen gems.	cold 3|mountain 1	incscale2 Cold|2d6vis W|nation -2|com 141|6d6units 141	
5076	The Niefel Scourge	1	The absolute zero of the frost has acted as a bridge for those who dwell in the eternal winter. A war-band of frost giants has crossed into the province to extinguish all warmth.	cold 3|land 1	incscale2 Cold|kill 20|com 844|4d6units 1202|unrest 60	
5077	Verdant Guardians	-1	Life is so abundant here that the forest itself has begun to protect the inhabitants. A group of forest sprites and a Great Bear have emerged to stand watch over the flourishing groves.	growth 3|forest 1	incscale2 Growth|2d6vis N|nation -2|com 694|6d6units 592|defence 10	
5078	The Choking Overgrowth	1	The growth in the province has become aggressive and wild. Sentient vines and wooden monstrosities have begun reclaiming the town square, viewing the living as little more than fertilizer.	growth 3|land 1	incscale2 Growth|kill 5|com 931|12d6units 361|4d6units 362	
5079	The Peaceful Grave	-1	Death is not feared in this province, but embraced as a natural transition. Loyal shades have risen to maintain the shrines, offering gem
